City,Bedrooms,Building Area (m²),Land Area (m²),Price
tangerang,3,200,153,3750000000
tangerang,3,105,105,3250000000
tangerang,3,72,72,1500000000
tangerang,4,208,162,6700000000
tangerang,4,135,90,1700000000
tangerang,3,200,153,3750000000
tangerang,5,193,250,4300000000
tangerang,2,72,72,1500000000
tangerang,4,130,135,2700000000
tangerang,3,50,84,782000000
tangerang,3,125,72,2700000000
tangerang,2,48,32,800000000
tangerang,3,79,119,2350000000
tangerang,5,180,200,2960000000
tangerang,5,430,220,6100000000
tangerang,2,48,60,770000000
tangerang,3,198,250,5000000000
tangerang,4,175,112,3200000000
tangerang,3,130,90,2150000000
tangerang,3,78,77,1700000000
tangerang,3,68,82,1150000000
tangerang,4,216,288,7250000000
tangerang,3,90,84,1980000000
tangerang,3,125,72,2700000000
tangerang,4,170,180,4700000000
tangerang,4,210,120,2980000000
tangerang,4,220,132,3800000000
tangerang,4,356,223,5300000000
tangerang,4,180,162,3300000000
tangerang,4,150,90,2049999999
tangerang,2,80,85,1950000000
tangerang,4,150,161,4350000000
tangerang,6,220,214,8000000000
tangerang,5,500,300,8000000000
tangerang,4,175,112,3200000000
tangerang,2,70,60,1340000000
tangerang,3,88,84,1850000000
tangerang,3,84,112,2700000000
tangerang,5,120,72,1700000000
tangerang,2,56,48,1200000000
tangerang,3,150,90,1950000000
tangerang,3,133,96,1850000000
tangerang,4,77,60,1350000000
tangerang,3,69,60,1600000000
tangerang,1,57,48,1050000000
tangerang,5,210,180,4050000000
tangerang,3,130,90,2150000000
tangerang,4,90,84,1300000000
tangerang,3,162,153,2750000000
tangerang,2,35,60,579000000
tangerang,4,220,214,8000000000
tangerang,3,220,167,1400000000
tangerang,3,130,117,2000000000
tangerang,5,300,204,5500000000
tangerang,2,70,63,1800000000
tangerang,5,175,112,3200000000
tangerang,2,80,56,1500000000
tangerang,4,130,117,2000000000
tangerang,4,182,180,4950000000
tangerang,5,300,210,3800000000
tangerang,4,87,62,935000000
tangerang,2,56,48,1050000000
tangerang,4,154,164,3400000000
tangerang,4,124,105,3100000000
tangerang,3,88,84,1850000000
tangerang,4,125,72,2250000000
tangerang,2,61,60,1500000000
tangerang,3,66,72,2250000000
tangerang,3,106,128,3500000000
tangerang,3,130,117,2000000000
tangerang,4,150,161,4200000000
tangerang,4,190,180,3900000000
tangerang,3,70,50,1950000000
tangerang,4,192,162,4250000000
tangerang,3,152,86,1800000000
tangerang,5,155,144,4200000000
tangerang,3,150,80,2200000000
tangerang,3,150,90,2049999999
tangerang,3,73,99,2200000000
tangerang,3,130,117,2000000000
tangerang,3,202,200,3900000000
tangerang,4,175,112,3200000000
tangerang,4,540,265,4099999999
tangerang,3,132,121,2550000000
tangerang,3,125,72,2450000000
tangerang,3,200,153,3750000000
tangerang,5,136,156,3200000000
tangerang,3,200,140,3000000000
tangerang,2,41,32,675000000
tangerang,3,77,84,1600000000
tangerang,3,60,60,1250000000
tangerang,2,72,48,1200000000
tangerang,2,71,77,2550000000
tangerang,3,88,118,2000000000
tangerang,3,68,56,1400000000
tangerang,4,180,170,4000000000
tangerang,6,398,220,11570000000
tangerang,4,116,150,3810000000
tangerang,3,125,72,2650000000
tangerang,4,412,240,11580000000
tangerang,3,75,41,629000000
tangerang,9,500,250,14000000000
tangerang,4,315,228,6500000000
tangerang,4,208,162,6350000000
tangerang,6,136,152,3950000000
tangerang,3,71,63,864500000
tangerang,3,101,84,2700000000
tangerang,4,179,250,5760000000
tangerang,3,181,135,5960000000
tangerang,7,250,162,3900000000
tangerang,2,33,60,649000000
tangerang,4,221,200,5300000000
tangerang,4,400,126,4500000000
tangerang,6,400,126,4500000000
tangerang,3,90,84,1950000000
tangerang,3,144,118,3520000000
tangerang,4,283,216,7870000000
tangerang,4,204,144,6580000000
tangerang,3,256,180,6060000000
tangerang,5,283,216,9500000000
tangerang,3,88,60,1950000000
tangerang,2,90,84,2200000000
tangerang,4,193,223,4300000000
tangerang,4,237,180,7400000000
tangerang,8,744,562,19000000000
tangerang,4,331,300,9860000000
tangerang,4,283,216,7820000000
tangerang,4,161,130,4130000000
tangerang,4,144,204,5310000000
tangerang,6,283,216,8199999999
tangerang,5,205,152,5320000000
tangerang,4,170,250,6500000000
tangerang,2,70,63,1700000000
tangerang,2,69,60,1600000000
tangerang,4,283,216,13200000000
tangerang,4,452,300,13580000000
tangerang,3,144,84,3800000000
tangerang,3,117,149,5250000000
tangerang,4,200,90,1700000000
tangerang,5,277,171,4990000000
tangerang,4,200,202,3900000000
tangerang,3,88,84,2400000000
tangerang,6,498,300,13000000000
tangerang,4,432,300,13290000000
tangerang,3,101,84,2280000000
tangerang,4,150,121,6500000000
tangerang,3,168,203,3500000000
tangerang,5,158,128,3700000000
tangerang,2,70,60,1480000000
tangerang,4,300,200,5000000000
tangerang,5,176,162,3900000000
tangerang,4,129,128,4500000000
tangerang,4,140,140,2000000000
tangerang,2,133,119,2400000000
tangerang,4,203,274,7000000000
tangerang,2,36,60,721000000
tangerang,4,159,210,3900000000
tangerang,2,70,48,1200000000
tangerang,4,135,90,1700000000
tangerang,1,35,31,393000000
tangerang,3,200,153,3750000000
tangerang,5,166,144,4250000000
tangerang,2,40,48,750000000
tangerang,2,40,32,750000000
tangerang,4,114,108,3200000000
tangerang,4,166,144,5000000000
tangerang,4,105,84,2000000000
tangerang,3,62,66,1600000000
tangerang,4,380,200,3650000000
tangerang,4,194,250,6250000000
tangerang,5,160,144,4000000000
tangerang,2,63,84,2600000000
tangerang,2,45,84,1200000000
tangerang,3,158,200,5750000000
tangerang,3,80,108,2390000000
tangerang,3,200,202,3900000000
tangerang,4,190,162,5500000000
tangerang,3,125,144,2700000000
tangerang,4,182,170,3700000000
tangerang,3,73,77,1850000000
tangerang,4,193,233,4300000000
tangerang,3,200,202,3900000000
tangerang,2,160,84,2200000000
tangerang,2,75,102,2000000000
tangerang,3,250,216,5300000000
tangerang,3,130,104,2500000000
tangerang,4,167,163,3400000000
tangerang,5,145,136,3800000000
tangerang,4,114,108,3200000000
tangerang,2,85,72,1900000000
tangerang,4,193,162,3900000000
tangerang,4,135,90,1700000000
tangerang,2,126,126,1900000000
tangerang,1,35,31,393070000
tangerang,3,210,119,2900000000
tangerang,4,220,180,4200000000
tangerang,5,242,241,3900000000
tangerang,4,162,128,2800000000
tangerang,4,162,128,2800000000
tangerang,4,192,128,4300000000
tangerang,4,220,214,8000000000
tangerang,2,84,72,1650000000
tangerang,4,89,90,1700000000
tangerang,3,203,274,7000000000
tangerang,2,60,60,1200000000
tangerang,4,89,84,2150000000
tangerang,4,194,250,6300000000
tangerang,3,220,170,5300000000
tangerang,3,144,78,1650000000
tangerang,3,72,60,1300000000
tangerang,4,192,128,4300000000
tangerang,4,252,144,6500000000
tangerang,4,192,128,4200000000
tangerang,3,78,68,1120000000
tangerang,4,125,72,2540000000
tangerang,5,158,128,3710000000
tangerang,5,325,204,5000000000
tangerang,5,136,156,3100000000
tangerang,4,432,300,13000000000
tangerang,2,65,60,1530000000
tangerang,3,193,170,4900000000
tangerang,6,136,156,4150000000
tangerang,4,220,214,8000000000
tangerang,2,49,60,800000000
tangerang,3,149,102,2300000000
tangerang,3,60,91,1000000000
tangerang,4,203,243,6200000000
tangerang,3,88,90,2150000000
tangerang,4,400,126,4880000000
tangerang,3,125,72,1330000000
tangerang,5,240,160,5200000000
tangerang,5,232,288,3700000000
tangerang,2,75,102,2000000000
tangerang,9,600,250,14000000000
tangerang,5,146,112,3450000000
tangerang,3,88,84,2200000000
tangerang,4,120,72,1750000000
tangerang,4,132,115,2190000000
tangerang,4,113,120,2500000000
tangerang,2,84,66,1650000000
tangerang,4,240,160,5300000000
tangerang,4,175,120,2850000000
tangerang,4,148,128,2900000000
tangerang,4,192,128,4200000000
tangerang,4,192,128,4340000000
tangerang,4,153,160,3250000000
tangerang,5,190,120,3680000000
tangerang,2,65,60,1530000000
tangerang,3,202,105,4250000000
tangerang,6,600,414,16000000000
tangerang,3,88,84,2400000000
tangerang,4,158,128,3600000000
tangerang,4,160,119,2700000000
tangerang,3,160,119,2700000000
tangerang,4,77,98,1300000000
tangerang,4,220,214,8000000000
tangerang,2,63,84,2600000000
tangerang,5,242,204,6000000000
tangerang,4,180,170,4800000000
tangerang,4,76,63,1500000000
tangerang,4,250,240,13800000000
tangerang,5,125,72,2370000000
tangerang,5,192,128,4200000000
tangerang,2,68,56,1100000000
tangerang,3,250,199,2700000000
tangerang,3,84,72,1520000000
tangerang,4,240,160,5200000000
tangerang,3,106,212,4300000000
tangerang,1,33,31,461500000
tangerang,4,192,128,4200000000
tangerang,3,193,170,4900000000
tangerang,6,285,250,5700000000
tangerang,4,315,228,6500000000
tangerang,5,183,120,3700000000
tangerang,4,132,117,1890000000
tangerang,2,68,56,1500000000
tangerang,3,144,84,3550000000
tangerang,4,400,126,4880000000
tangerang,2,68,56,1500000000
tangerang,2,69,84,1900000000
tangerang,4,100,72,950000000
tangerang,4,237,150,3800000000
tangerang,3,70,60,1300000000
tangerang,4,192,128,4200000000
tangerang,4,192,128,4200000000
tangerang,3,139,163,3720000000
tangerang,4,188,128,2700000000
tangerang,4,228,144,4800000000
tangerang,3,69,69,1650000000
tangerang,2,62,48,1300000000
tangerang,4,261,329,15460000000
tangerang,1,36,50,750000000
tangerang,3,77,60,1350000000
tangerang,4,237,150,5140000000
tangerang,2,27,60,185000000
tangerang,3,144,84,3550000000
tangerang,3,160,119,2700000000
tangerang,3,88,187,2000000000
tangerang,4,158,128,3600000000
tangerang,3,84,72,1500000000
tangerang,3,120,120,1300000000
tangerang,4,112,90,2200000000
tangerang,2,55,84,1200000000
tangerang,2,160,105,2350000000
tangerang,4,256,200,4200000000
tangerang,3,95,60,1350000000
tangerang,5,240,160,5300000000
tangerang,5,250,147,2400000000
tangerang,5,136,136,3280000000
tangerang,2,74,56,1850000000
tangerang,2,83,56,1500000000
tangerang,4,277,171,6450000000
tangerang,4,220,214,8000000000
tangerang,2,55,60,975000000
tangerang,1,57,48,1150000000
tangerang,5,278,192,7500000000
tangerang,5,136,156,3500000000
tangerang,4,166,128,3740000000
